	Base	IHC	NN	Productivity	Prod. gain
(Intercept)	0.027	0.027	0.027	0.028	0.044
	(0.234)	(0.234)	(0.235)	(0.235)	(0.240)
Age.c	0.059	0.064	0.036	0.041	0.154
	(0.236)	(0.239)	(0.241)	(0.238)	(0.248)
IHC.c		-0.028			
		(0.239)			
wcnscore.c			0.124		
			(0.241)		
Productivity.tertiary: 1				0.390	
				(0.476)	
prod.gradient.c					-0.442
					(0.325)
Nagelkerke R-sq.	0.001	0.001	0.006	0.013	0.046
Log-likelihood	-50.561	-50.554	-50.428	-50.224	-49.319
AIC	105.123	107.109	106.856	106.448	104.637
N	73	73	73	73	73
