	Base	IHC	NN	Productivity	Prod. gradient
(Intercept)	-0.365	-0.379	-0.397	-0.379	-0.397
	(0.240)	(0.244)	(0.249)	(0.245)	(0.249)
Age.c	0.227	0.170	0.147	0.193	0.154
	(0.245)	(0.249)	(0.253)	(0.249)	(0.253)
IHC.c		0.386			
		(0.252)			
wcnscore.c			0.526		
			(0.275)		
Productivity.tertiary: 1				0.863	
				(0.491)	
prod.gradient.c					0.436
					(0.388)
Nagelkerke R-sq.	0.016	0.059	0.088	0.072	0.049
Log-likelihood	-48.997	-47.793	-46.981	-47.424	-48.081
AIC	101.994	101.586	99.962	100.848	102.161
p	0.349	0.193	0.086	0.134	0.258
N	73	73	73	73	73
