LadlabID,prod_tomerge,spon.raw,sup.raw,ihc,fhc,dce,decadesprompted,error.start,error.end,decadeprompt,notes
071416-BH,nonprod,"1-13,15-19,11,21-29,twenty ten, twenty eleven, twenty twelve,[28, 29],30-39, thirty ten, thirty eleven","[39,40], no",13,39,NA,NA,20,20,NA,
072016-JF,nonprod,1-49.,"[50],100",49,49,49,50,NA,NA,50,
072417-DB,nonprod,"1-20,",NA,20,20,NA,NA,NA,NA,NA,
072717-EH,prod,"1-109,1000",NA,99,99,NA,NA,NA,NA,NA,
080717-LE,prod,"1-42,44-129",NA,42,99,NA,NA,43,43,NA,
081517-JR,prod,"1-100, 1000",NA,99,99,NA,NA,NA,NA,NA,
081616-C1,nonprod,"1- 58, 90",NA,58,58,NA,NA,NA,NA,NA,
081817-CL,prod,"1- 49, 30,","[50]-69, 30, 70-89, 30, 90-119",49,99,49,50,NA,NA,50,
081817-SB,prod,"1-49,","[50]-69, [70]-79, [80]-109",49,99,49,50,NA,NA,"50,70,80",
081817-SB,prod,"1-49,","[50]-69, [70]-79, [80]-109",49,99,49,70,NA,NA,"50,70,80",
081817-SB,prod,"1-49,","[50]-69, [70]-79, [80]-109",49,99,49,80,NA,NA,"50,70,80",
082117-AD,prod,1-100,NA,99,99,NA,NA,NA,NA,NA,
082117-EC,prod,1-101,NA,99,99,NA,NA,NA,NA,NA,
110417-HN,prod,1-121,NA,99,99,NA,NA,NA,NA,NA,
110917-HB,prod,1-109,NA,99,99,NA,NA,NA,NA,NA,
110917-HB2,prod,1-109,NA,99,99,NA,NA,NA,NA,NA,
111117-C1,prod,1 -- 49,"[50], 51-65, 68, 67-109 [110]",49,99,49,50,NA,NA,50,
111117-LF,prod,1-109,NA,99,99,NA,NA,NA,NA,NA,
111117-VK,prod,1 -- 59,"[60],61 -109",59,99,59,60,NA,NA,60,
111217-GL,prod,1--79,"[80]-89, [90]-100",79,99,79,80,NA,NA,"80,90",
111217-GL,prod,1--79,"[80]-89, [90]-100",79,99,79,90,NA,NA,"80,90",
111217-O1,prod,1--49,"[50] -59, [60]-69, [70] - 79, [80]-89, [90]-99, [100]",49,99,49,50,NA,NA,"50,60,70,80,90",
111217-O1,prod,1--49,"[50] -59, [60]-69, [70] - 79, [80]-89, [90]-99, [100]",49,99,49,60,NA,NA,"50,60,70,80,90",
111217-O1,prod,1--49,"[50] -59, [60]-69, [70] - 79, [80]-89, [90]-99, [100]",49,99,49,70,NA,NA,"50,60,70,80,90",
111217-O1,prod,1--49,"[50] -59, [60]-69, [70] - 79, [80]-89, [90]-99, [100]",49,99,49,80,NA,NA,"50,60,70,80,90",
111217-O1,prod,1--49,"[50] -59, [60]-69, [70] - 79, [80]-89, [90]-99, [100]",49,99,49,90,NA,NA,"50,60,70,80,90",
111217-S1,prod,1-110,NA,99,99,NA,NA,NA,NA,NA,
