LadlabID,prod_tomerge,spon.raw,sup.raw,ihc,fhc,dce,decadesprompted,error.start,error.end,decadeprompt,notes
041316-CC,nonprod,"1-9,7,8,11",NA,9,9,NA,NA,NA,NA,NA,
041316-NC,nonprod,1-29.,"29,[30]",29,29,29,30,NA,NA,30,
041316-RC,nonprod,"1-14,16-29,twenty-ten, 16","[30],21-27,29,22",14,29,29,30,15,15,30,
041316-VN,nonprod,"1-12,14,16,17,21,28,29,26","[30],35,7",12,12,NA,NA,13,13,NA,
041317-RS,prod,"1-67,66-109,pause,110-120",NA,99,99,NA,NA,NA,NA,NA,
041416-BF,nonprod,"1-14,16,28,29,26-29,30,32-34,25-29,26","[30],31,32,32,34-39,37,[40],idk",14,34,NA,NA,15,15,NA,
041416-BF,nonprod,"1-14,16,28,29,26-29,30,32-34,25-29,26","[30],31,32,32,34-39,37,[40],idk",14,34,NA,NA,17,24,NA,
041416-BF,nonprod,"1-14,16,28,29,26-29,30,32-34,25-29,26","[30],31,32,32,34-39,37,[40],idk",14,34,NA,NA,31,31,NA,
041416-LR,nonprod,"1-14,16-29,28,26-29,26-29,20","[30],40,16-29,[30]",14,29,29,30,15,15,30,
041416-MT,nonprod,"1-16,19,20,29,24,23,21,25",NA,16,16,NA,NA,NA,NA,NA,
041517-CP,prod,1-59.,[60]61-79[80]81-89[90]91-99[100],59,99,59,60,NA,NA,"60,80,90",
041517-CP,prod,1-59.,[60]61-79[80]81-89[90]91-99[100],59,99,59,80,NA,NA,"60,80,90",
041517-CP,prod,1-59.,[60]61-79[80]81-89[90]91-99[100],59,99,59,90,NA,NA,"60,80,90",
041517-DX,prod,"1-39,50.","[40]41-49, 80?[50]51-59,30?[60]61-69[70]71-79[Mom asked, what comes after 7?]8. 80,88,81-120.",39,99,39,40,NA,NA,"40,50,60,70",
041517-DX,prod,"1-39,50.","[40]41-49, 80?[50]51-59,30?[60]61-69[70]71-79[Mom asked, what comes after 7?]8. 80,88,81-120.",39,99,39,50,NA,NA,"40,50,60,70",
041517-DX,prod,"1-39,50.","[40]41-49, 80?[50]51-59,30?[60]61-69[70]71-79[Mom asked, what comes after 7?]8. 80,88,81-120.",39,99,39,60,NA,NA,"40,50,60,70",
041517-DX,prod,"1-39,50.","[40]41-49, 80?[50]51-59,30?[60]61-69[70]71-79[Mom asked, what comes after 7?]8. 80,88,81-120.",39,99,39,70,NA,NA,"40,50,60,70",
041517-G,prod,"1-63,65-83,88-93,100-109,111,112",NA,63,99,NA,NA,64,64,NA,
041517-G,prod,"1-63,65-83,88-93,100-109,111,112",NA,63,99,NA,NA,84,87,NA,
