"","LadlabID","Sex","Age","AgeGroup","AgeMonths","HCReceivedSupport","IHC","DCE","FHC","Productivity","Productivity.tertiary","ProductivityStrict","ProductivityStrict.tertiary"
"46","infinity-068","f",4.89,"4.5-5y",58,"1",39,39,99,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
"47","infinity-070","f",4.8,"4.5-5y",57,"0",38,NA,38,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"48","infinity-071","f",4.45,"4-4.5y",53,"1",39,39,39,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"49","infinity-073","f",4.61,"4.5-5y",55,"0",15,19,35,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"50","infinity-074","m",4.25,"4-4.5y",51,"1",14,29,29,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"51","infinity-075","m",5.35,"5-5.5y",64,"1",29,29,99,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
"52","infinity-076","m",5.41,"5-5.5y",64,"1",69,69,99,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
"53","infinity-077","f",4.84,"4.5-5y",58,"1",14,29,49,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
"54","infinity-078","f",4.79,"4.5-5y",57,"1",30,59,99,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
"55","infinity-079","m",4.39,"4-4.5y",52,"1",12,NA,29,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"56","infinity-080","f",4.82,"4.5-5y",57,"0",36,39,44,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"57","infinity-081","m",4.36,"4-4.5y",52,"1",33,49,79,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
"58","infinity-084","f",5.21,"5-5.5y",62,"0",77,NA,99,"Productive","Productive (IHC < 99)","Nonproductive","Nonproductive"
"59","infinity-085","m",5.04,"5-5.5y",60,"1",29,29,89,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
"60","infinity-086","m",5.63,"5.5-6y",67,"1",49,49,99,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
"61","infinity-087","m",4.51,"4.5-5y",54,"0",99,NA,99,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)"
"62","infinity-088","f",4.31,"4-4.5y",51,"1",29,29,29,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"63","infinity-090","m",4.36,"4-4.5y",52,"0",9,NA,9,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"64","infinity-092","m",4.42,"4-4.5y",53,"1",14,29,29,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"65","infinity-096","f",5.86,"5.5-6y",70,"0",99,NA,99,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)"
"66","infinity-097","f",4.84,"4.5-5y",58,"0",14,NA,34,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"67","infinity-098","m",4.41,"4-4.5y",52,"1",14,29,29,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"68","infinity-099","f",4.15,"4-4.5y",49,"0",16,NA,16,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
